nct_id,brief_title,flash_triage,criterion_1_flash,criterion_2_flash,criterion_1_sol,criterion_2_sol,sol_audit,sol_reason,flash_sol_agreement,priority_for_human_review,human_decision_existing
NCT00023543,Reduction of Triglycerides in Women on Hormone Replacement Therapy,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,exclude
NCT00082082,A Trial of Thymalfasin in Adult Patients With Hepatocellular Carcinoma,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,exclude
NCT00146146,Testosterone and Its Metabolites in GID,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,low,include
NCT00188708,Effect of Casodex on Tumour Hypoxia - Prostate Cancer,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,exclude
NCT00450749,Lycopene in Treating Patients Undergoing Radical Prostatectomy for Prostate Cancer,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,exclude
NCT00544882,A Study to Evaluate Hormone Patterns and Ovarian Follicular Activity With DR-1021,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,exclude
NCT00608400,Effect of Dietary Conjugated Linoleic Acid (CLA) on Parathyroid Hormone in Men,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,exclude
NCT00962637,Study to Evaluate the Safety and Efficacy of Androxal™ Treatment in Men With Secondary Hypogonadism,obvious_exclude,no,no,no,no,agree_obvious_exclude,The preserved registry context describes a non-TGD population and a non-GAHT indication; neither protocol criterion is supported.,agree,low,
NCT01065220,Sex Steroids and the Serotonin Transporter,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
NCT01072825,A European Network for the Investigation of Gender Incongruence,likely_include,yes,yes,yes,yes,agree_likely_include,"The preserved registry context explicitly includes a TGD population and gives GAHT an intervention, exposure, comparison, monitoring, pharmacologic, or analytic role.",agree,normal,
